Column,Statistic,P-value
Movie_Name,0.9548219269821577,1.7285347762729025e-22
Release_Period,0.6128105344033862,6.210617457159309e-52
Whether_Remake,0.1973858739372877,8.05259287291764e-65
Whether_Franchise,0.21902870531927449,2.6044927997719867e-64
Genre,0.8891740372601411,3.0657640592249715e-33
New_Actor,0.5533200368392422,2.410633375991508e-54
New_Director,0.636059366984683,6.609444706813894e-51
New_Music_Director,0.5913614432812536,7.7671936627415075e-53
Lead_Star,0.9446490728752358,9.967787845341952e-25
Director,0.9565026840680037,4.396696106551426e-22
Music_Director,0.94089823990467,1.7842819878189024e-25
Number_of_Screens,0.7236934104072688,1.8226132959762493e-46
Revenue(INR),0.6166946144514833,9.142694312660054e-52
Budget(INR),0.41826353417528417,5.986618476068695e-59
ROI,0.16467654515372204,1.4364077116628465e-65
Revenue_per_screen,0.17010595290344074,1.904570437482389e-65
combined,0.9506765251609347,1.9216802000251576e-23
Hit_Flop,0.6366055439053577,6.997491677179427e-51
