,Mean,Median,Std,Minimum,Maximum
Movie_Name,847.2948113207547,847.5,489.45487261548845,0.0,1694.0
Release_Period,0.6267688679245284,1.0,0.4838054006731297,0.0,1.0
Whether_Remake,0.041273584905660375,0.0,0.19898095705954527,0.0,1.0
Whether_Franchise,0.04834905660377359,0.0,0.21456600549242136,0.0,1.0
Genre,5.939268867924528,5.0,3.8025565606949105,0.0,13.0
New_Actor,0.26827830188679247,0.0,0.4431939404087671,0.0,1.0
New_Director,0.4805424528301887,0.0,0.49976861958605173,0.0,1.0
New_Music_Director,0.3266509433962264,0.0,0.4691267085213514,0.0,1.0
Lead_Star,370.5566037735849,374.5,226.0104894399714,0.0,763.0
Director,528.436320754717,532.5,301.55484697824323,0.0,1047.0
Music_Director,318.8378537735849,353.5,183.6042081666756,0.0,629.0
Number_of_Screens,553.7948113207547,200.0,783.2131280120794,1.0,4600.0
Revenue(INR),150129260.0235849,55000000.0,243564819.92191863,325000.0,2100000000.0
Budget(INR),237927585.8125,12400000.0,613770825.8332937,7250.0,8016120000.0
ROI,14.012436257684367,2.0,65.35799187190108,-0.8807631160572337,1713.2857142857142
Revenue_per_screen,618210.0745087216,309384.1642228739,1848844.7058804987,8125.0,60000000.0
combined,766.9245283018868,765.5,453.36524853361715,0.0,1551.0
Hit_Flop,0.5017688679245284,1.0,0.5001443410513402,0.0,1.0
