Feature,VIF
Movie_Name,3.5660044148957732
Release_Period,2.549876094813744
Whether_Remake,1.1366748087087633
Whether_Franchise,1.2217696570931158
Genre,3.1849746434792228
New_Actor,1.64366987385725
New_Director,2.194508797614302
New_Music_Director,1.7159998635178515
Lead_Star,3245.8270832392172
Director,3.7575074843375385
Music_Director,3.6641455916521943
Number_of_Screens,5.92515575183804
Budget(INR),3.066026383634597
ROI,2.7227704293645685
Revenue_per_screen,2.849755431932029
combined,3374.78802752638
Hit_Flop,3.6678648826879345
